repository,num_code_files,total_lines_of_code,num_modules,pretrained_models,shell_scripts,lists_in_readme,code_blocks_in_readme,inline_code_in_readme,images_in_readme,github_links_in_readme,has_license,diversity,total_contributors,Num_Star,Num_Fork,Num_Watcher,Date_Created,Date_Last_Mod,Num_Issue,Num_Issue_Type,Num_Issue_Open,Num_Issue_Closed,Num_PR_Open,Num_PR_Closed,language
LPMP/LPMP,356,35166,9,0,0,22,2,22,1,7,No,diverse,6,64.0,22.0,7.0,2018-08-17 07:03:15+00:00,2024-12-25 12:31:01+00:00,16.0,8.0,8.0,8.0,1.0,22.0,C++
cihangxie/DI-2-FGSM,1,192,0,0,0,4,0,0,1,3,Yes,not-diverse,2,163.0,38.0,8.0,2018-03-19 01:02:32+00:00,2024-12-08 14:56:12+00:00,9.0,8.0,1.0,8.0,0.0,0.0,Python
coolsunxu/sophie,6,769,2,0,0,4,1,7,0,0,No,not-diverse,3,56.0,25.0,2.0,2020-06-10 23:26:11+00:00,2025-01-07 06:31:39+00:00,0.0,9.0,0.0,0.0,0.0,1.0,Python
xingyul/flownet3d,21,3344,4,0,3,4,5,23,0,5,Yes,diverse,3,366.0,83.0,13.0,2019-04-15 21:06:26+00:00,2025-01-01 08:14:44+00:00,54.0,8.0,18.0,36.0,0.0,2.0,Python
twke18/Adversarial_Structure_Matching,21,4031,7,0,0,11,10,0,0,0,Yes,not-diverse,2,11.0,2.0,6.0,2019-10-21 16:20:01+00:00,2024-06-04 19:44:17+00:00,0.0,9.0,0.0,0.0,0.0,0.0,Python
cocodataset/panopticapi,13,1492,5,0,0,0,1,3,0,2,No,not-diverse,3,427.0,185.0,10.0,2018-06-27 13:00:46+00:00,2024-12-29 03:34:19+00:00,49.0,8.0,34.0,15.0,10.0,4.0,Python
anshulbshah/Blurred-Image-to-Video,0,0,0,0,0,1,1,0,3,2,No,not-diverse,2,15.0,3.0,6.0,2017-12-11 08:04:34+00:00,2022-12-27 02:13:41+00:00,2.0,8.0,2.0,0.0,0.0,0.0,
danini/magsac,14,5196,8,0,0,5,5,5,3,2,Yes,diverse,3,438.0,65.0,19.0,2019-04-01 14:40:23+00:00,2024-12-31 08:21:42+00:00,30.0,8.0,7.0,23.0,1.0,6.0,C++
deepinsight/insightface,1032,215184,15,0,0,33,1,23,0,21,No,diverse,56,24001.0,5476.0,515.0,2017-09-01 00:36:51+00:00,2025-01-14 02:13:47+00:00,2524.0,12.0,1138.0,1386.0,32.0,152.0,Python
javiribera/locating-objects-without-bboxes,25,5385,2,0,0,3,2,9,0,0,No,diverse,3,251.0,51.0,12.0,2019-04-04 05:05:54+00:00,2024-10-25 18:33:35+00:00,50.0,8.0,23.0,27.0,0.0,0.0,Python
aimagelab/novelty-detection,31,3461,6,0,0,4,7,9,1,1,Yes,diverse,3,196.0,60.0,12.0,2018-11-15 19:28:38+00:00,2024-08-12 19:43:21+00:00,16.0,9.0,9.0,7.0,1.0,0.0,Python
verlab/SemanticFastForward_CVPR_2018,69,13553,8,0,0,11,6,54,5,2,Yes,not-diverse,3,8.0,7.0,9.0,2018-04-23 16:54:42+00:00,2022-05-12 03:54:36+00:00,2.0,8.0,2.0,0.0,0.0,0.0,C++
rookiepig/CrossScaleStereo,64,8823,1,0,0,19,1,26,0,0,Yes,not-diverse,2,214.0,93.0,25.0,2014-03-03 02:28:22+00:00,2024-11-02 10:08:48+00:00,13.0,6.0,5.0,8.0,0.0,1.0,C++
feichtenhofer/twostreamfusion,33,4438,4,0,0,13,2,5,0,2,Yes,not-diverse,1,717.0,188.0,24.0,2016-04-22 08:47:54+00:00,2025-01-07 11:47:09+00:00,59.0,7.0,38.0,21.0,0.0,4.0,Cuda
feichtenhofer/twostreamfusion,33,4438,4,0,0,13,2,5,0,2,Yes,not-diverse,1,717.0,188.0,24.0,2016-04-22 08:47:54+00:00,2025-01-07 11:47:09+00:00,59.0,7.0,38.0,21.0,0.0,4.0,Cuda
cvlab-dresden/DSAC,26,7964,1,1,1,0,0,0,0,1,No,diverse,4,343.0,87.0,21.0,2017-04-24 13:12:43+00:00,2024-11-28 07:43:36+00:00,16.0,7.0,0.0,16.0,0.0,3.0,C++
wy1iu/sphereface,232,81739,4,3,0,52,9,31,7,39,Yes,diverse,2,1591.0,538.0,104.0,2017-07-19 16:46:26+00:00,2024-12-20 16:39:29+00:00,138.0,7.0,82.0,56.0,2.0,0.0,Jupyter Notebook
DmitryUlyanov/texture_nets,0,0,4,0,0,7,12,32,12,4,Yes,diverse,6,1227.0,216.0,58.0,2016-03-07 11:53:05+00:00,2024-12-19 14:37:39+00:00,91.0,7.0,42.0,49.0,0.0,7.0,Lua
StanfordVL/feedback-networks,0,0,4,0,1,4,6,4,0,3,Yes,diverse,2,88.0,20.0,7.0,2017-02-05 07:45:50+00:00,2024-11-08 22:10:48+00:00,5.0,7.0,3.0,2.0,0.0,0.0,Lua
linjieyangsc/densecap,317,93135,14,3,0,0,5,10,0,2,Yes,diverse,192,53.0,24.0,3.0,2017-07-14 21:40:45+00:00,2023-09-19 02:39:33+00:00,10.0,7.0,4.0,6.0,0.0,0.0,C++
google/tf_mesh_renderer,9,9458,2,0,1,0,1,3,0,0,Yes,not-diverse,5,495.0,112.0,32.0,2018-01-04 21:48:05+00:00,2024-11-15 02:41:45+00:00,0.0,8.0,0.0,0.0,0.0,3.0,Python
msracver/Relation-Networks-for-Object-Detection,76,21177,3,0,1,3,15,15,0,11,Yes,not-diverse,2,1099.0,189.0,34.0,2018-06-14 05:59:13+00:00,2024-12-30 13:50:49+00:00,46.0,8.0,17.0,29.0,0.0,3.0,Python
xthan/VITON,7,2772,5,0,4,8,15,0,0,4,No,not-diverse,2,534.0,143.0,22.0,2017-12-12 00:01:05+00:00,2025-01-11 00:21:29+00:00,55.0,8.0,21.0,34.0,0.0,1.0,Python
ruotianluo/DiscCaptioning,26,4973,4,0,4,0,5,11,0,3,No,diverse,4,110.0,21.0,6.0,2018-06-07 15:42:12+00:00,2024-01-04 16:23:42+00:00,21.0,8.0,7.0,14.0,0.0,1.0,Python
ShichenLiu/CondenseNet,9,1438,1,0,1,3,7,5,0,0,Yes,diverse,4,694.0,130.0,24.0,2017-09-26 01:03:24+00:00,2024-08-08 11:22:22+00:00,39.0,8.0,11.0,28.0,0.0,2.0,Python
uber/sbnet,26,4799,1,0,0,0,14,28,0,2,No,diverse,3,435.0,91.0,21.0,2017-12-19 16:37:57+00:00,2024-12-22 01:42:39+00:00,25.0,8.0,3.0,22.0,1.0,2.0,Python
JingchunCheng/FAVOS,19,3135,8,0,2,6,4,2,1,2,No,diverse,3,182.0,28.0,13.0,2018-03-16 02:11:39+00:00,2024-01-04 16:21:29+00:00,6.0,8.0,2.0,4.0,0.0,0.0,Python
fab-jul/imgcomp-cvpr,28,5257,2,0,0,23,5,63,1,4,Yes,not-diverse,2,181.0,53.0,12.0,2018-03-28 08:34:42+00:00,2024-12-01 09:47:48+00:00,33.0,8.0,3.0,30.0,0.0,1.0,Python
rlit/LatentRANSAC,282,86329,7,0,0,4,0,0,0,1,No,diverse,2,25.0,9.0,7.0,2018-03-12 09:45:31+00:00,2024-01-10 02:59:02+00:00,0.0,8.0,0.0,0.0,0.0,0.0,C++
SysCV/bdd100k-models,400,12962,11,0,1,13,1,0,2,2,Yes,not-diverse,2,299.0,40.0,10.0,2021-10-10 17:56:42+00:00,2025-01-09 23:21:21+00:00,23.0,9.0,5.0,18.0,0.0,3.0,Python
msraig/pfcnn,339,265938,2,0,0,11,0,0,0,1,Yes,diverse,2,19.0,6.0,4.0,2020-03-19 02:44:06+00:00,2023-11-06 03:19:42+00:00,6.0,9.0,5.0,1.0,0.0,0.0,C++
Sha-Lab/FEAT,31,3231,4,0,1,44,0,92,0,10,Yes,not-diverse,2,423.0,84.0,13.0,2018-12-10 06:48:32+00:00,2024-12-30 11:16:58+00:00,82.0,8.0,1.0,81.0,0.0,0.0,Python
princeton-computational-imaging/SeeingThroughFog,46,5086,3,0,1,10,12,0,0,1,Yes,not-diverse,4,314.0,61.0,12.0,2020-06-08 18:57:50+00:00,2025-01-08 12:33:08+00:00,75.0,9.0,27.0,48.0,1.0,7.0,Python
prasunroy/stefann,6,2225,2,0,0,3,8,21,0,6,Yes,not-diverse,2,262.0,41.0,11.0,2020-04-15 13:30:46+00:00,2024-10-30 07:42:57+00:00,19.0,9.0,7.0,12.0,0.0,2.0,Python
akanimax/msg-stylegan-tf,29,6742,4,0,0,4,0,21,0,15,No,not-diverse,3,264.0,57.0,13.0,2019-10-16 15:59:34+00:00,2025-01-13 09:55:55+00:00,13.0,9.0,3.0,10.0,0.0,0.0,Python
nutonomy/nuscenes-devkit,143,25461,3,0,0,87,7,20,2,17,No,diverse,35,2348.0,643.0,52.0,2018-09-06 19:04:28+00:00,2025-01-14 01:14:43+00:00,809.0,9.0,3.0,806.0,8.0,313.0,Python
microsoft/SGN,8,1646,3,0,0,6,4,0,1,3,Yes,not-diverse,4,191.0,55.0,10.0,2020-04-14 06:42:04+00:00,2025-01-08 05:56:48+00:00,29.0,9.0,25.0,4.0,0.0,0.0,Python
3DVisionISR/3DRegNet,14,4656,4,0,0,0,5,0,1,0,Yes,diverse,2,19.0,6.0,1.0,2020-03-05 11:20:37+00:00,2024-10-09 05:49:05+00:00,0.0,9.0,0.0,0.0,0.0,0.0,
microsoft/Relation-Aware-Global-Attention-Networks,26,2224,3,0,0,1,2,13,1,2,Yes,not-diverse,4,346.0,66.0,8.0,2019-07-04 01:30:44+00:00,2025-01-13 02:28:55+00:00,29.0,9.0,24.0,5.0,3.0,1.0,Python
open-mmlab/mmdetection,1959,235468,13,0,0,47,1,0,13,35,Yes,diverse,415,30038.0,9508.0,372.0,2018-08-22 07:06:06+00:00,2025-01-14 19:47:15+00:00,8413.0,49.0,1684.0,6729.0,180.0,2988.0,Python
tancik/StegaStamp,6,1282,2,0,0,6,9,7,1,3,Yes,not-diverse,2,709.0,197.0,17.0,2019-04-08 19:17:34+00:00,2025-01-10 15:12:48+00:00,66.0,8.0,31.0,35.0,0.0,0.0,Python
dmsm/DeepParametricShapes,19,1906,4,0,0,0,8,3,0,0,Yes,not-diverse,2,54.0,9.0,6.0,2019-09-18 19:59:15+00:00,2024-07-24 08:02:42+00:00,2.0,10.0,1.0,1.0,0.0,3.0,Python
TRI-ML/packnet-sfm,202,63246,6,0,0,2,20,12,0,4,No,not-diverse,6,1249.0,245.0,58.0,2019-12-06 01:08:19+00:00,2025-01-12 15:29:35+00:00,228.0,9.0,72.0,156.0,7.0,17.0,Python
lzqsd/InverseRenderingOfIndoorScene,26,7986,0,0,3,27,0,25,5,3,Yes,not-diverse,2,304.0,35.0,13.0,2020-06-16 17:06:33+00:00,2024-12-22 01:19:13+00:00,18.0,9.0,11.0,7.0,0.0,0.0,Python
SLDGroup/NN_Mass,12,2776,3,0,1,19,7,0,0,1,Yes,not-diverse,2,4.0,2.0,1.0,2021-03-27 23:08:05+00:00,2023-07-25 07:13:44+00:00,0.0,9.0,0.0,0.0,2.0,0.0,Python
XiaoxiaoGuo/fashion-iq,36,5759,4,0,0,2,1,0,0,1,No,diverse,3,149.0,40.0,3.0,2019-06-05 17:07:24+00:00,2024-12-23 15:18:25+00:00,17.0,9.0,11.0,6.0,1.0,3.0,Python
anonymous-p/Flickering_Adversarial_Video,122,25502,3,0,1,13,14,25,1,1,No,not-diverse,2,15.0,6.0,2.0,2020-02-06 23:52:53+00:00,2024-12-10 03:17:44+00:00,5.0,10.0,4.0,1.0,19.0,24.0,Python
Howal/Cross-iterationBatchNorm,192,19925,3,0,1,6,3,0,0,1,Yes,not-diverse,2,130.0,21.0,6.0,2020-02-13 09:02:22+00:00,2024-05-12 04:39:12+00:00,10.0,9.0,5.0,5.0,0.0,0.0,Python
Boyiliee/MoEx,8,3110,4,0,0,6,1,1,1,1,Yes,not-diverse,2,142.0,19.0,9.0,2020-02-08 00:42:42+00:00,2024-11-14 12:39:32+00:00,4.0,9.0,1.0,3.0,0.0,0.0,Python
alldbi/SuperMix,38,4865,7,0,0,29,9,56,1,4,No,not-diverse,4,92.0,21.0,6.0,2020-01-01 17:36:10+00:00,2024-12-16 12:57:18+00:00,7.0,9.0,1.0,6.0,0.0,1.0,Python
hasanirtiza/Pedestron,506,81373,9,0,0,25,14,0,2,10,Yes,diverse,46,693.0,157.0,19.0,2020-03-15 05:52:52+00:00,2025-01-05 03:27:38+00:00,165.0,9.0,0.0,165.0,0.0,9.0,Python
ShuhangGu/DASR,88,12847,1,0,0,11,8,34,0,3,No,not-diverse,2,237.0,21.0,9.0,2020-03-30 12:16:53+00:00,2025-01-07 11:59:42+00:00,22.0,9.0,20.0,2.0,0.0,0.0,Python
tobran/DF-GAN,15,2521,2,0,0,22,5,15,7,8,No,not-diverse,2,308.0,70.0,7.0,2020-08-14 02:53:40+00:00,2024-12-24 07:52:58+00:00,37.0,9.0,14.0,23.0,1.0,0.0,Python
chirag126/VOG,4,751,2,0,0,0,0,14,0,0,No,diverse,2,61.0,6.0,3.0,2020-08-28 19:01:31+00:00,2024-11-23 04:10:59+00:00,4.0,10.0,1.0,3.0,0.0,2.0,Python
wang-chen/lgl-action-recognition,14,743,2,0,1,0,0,0,0,1,Yes,not-diverse,2,10.0,0.0,2.0,2021-01-21 05:26:04+00:00,2024-09-17 15:26:24+00:00,0.0,9.0,0.0,0.0,0.0,0.0,Python
devnkong/FLAG,93,12543,2,0,0,7,1,0,0,2,Yes,not-diverse,2,141.0,18.0,3.0,2020-10-19 19:59:21+00:00,2024-11-06 09:55:02+00:00,11.0,9.0,6.0,5.0,0.0,1.0,Python
timmeinhardt/trackformer,56,10223,8,0,0,0,6,4,0,4,Yes,diverse,6,541.0,121.0,14.0,2021-02-11 12:03:03+00:00,2025-01-14 03:28:17+00:00,125.0,9.0,68.0,57.0,0.0,11.0,Python
HikariTJU/LD,815,88738,12,0,0,7,12,6,0,11,Yes,not-diverse,3,366.0,53.0,5.0,2021-01-20 08:19:27+00:00,2025-01-12 07:39:52+00:00,81.0,9.0,37.0,44.0,0.0,1.0,Python
xingyizhou/UniDet,44,7696,6,0,0,7,0,2,0,2,Yes,diverse,121,496.0,58.0,14.0,2021-02-25 18:11:13+00:00,2025-01-08 22:20:40+00:00,27.0,9.0,23.0,4.0,1.0,0.0,Python
google-research/google-research,8957,2202177,714,1,1,2,1,0,0,0,Yes,diverse,395,,,,,,,,,,,,Jupyter Notebook
kreshuklab/spoco,18,3904,2,0,0,25,13,33,1,1,No,diverse,2,32.0,7.0,7.0,2021-03-26 14:24:14+00:00,2024-04-08 06:52:58+00:00,8.0,9.0,1.0,7.0,1.0,10.0,Python
lmb-freiburg/understanding_flow_robustness,85,19975,7,0,0,4,28,9,0,10,Yes,diverse,2,9.0,3.0,5.0,2022-03-10 13:22:11+00:00,2023-10-18 07:01:09+00:00,1.0,9.0,0.0,1.0,0.0,0.0,Python
lyndonzheng/TFill,34,5249,9,0,0,14,22,1,8,5,Yes,diverse,3,162.0,15.0,12.0,2021-04-05 01:03:28+00:00,2024-11-17 12:42:39+00:00,29.0,9.0,18.0,11.0,0.0,1.0,Python
shengcailiao/QAConv,35,3242,4,0,0,12,1,2,4,3,Yes,not-diverse,1,206.0,31.0,5.0,2019-07-08 05:54:26+00:00,2024-12-11 02:17:36+00:00,27.0,9.0,0.0,27.0,0.0,3.0,Python
shengcailiao/QAConv,35,3242,4,0,0,12,1,2,4,3,Yes,not-diverse,1,206.0,31.0,5.0,2019-07-08 05:54:26+00:00,2024-12-11 02:17:36+00:00,27.0,9.0,0.0,27.0,0.0,3.0,Python
openai/random-network-distillation,17,3247,1,0,0,0,1,1,0,0,No,not-diverse,4,888.0,161.0,26.0,2018-10-16 20:28:02+00:00,2025-01-08 01:58:23+00:00,20.0,8.0,12.0,8.0,4.0,4.0,Python
benathi/fastswa-semi-sup,30,2954,4,0,1,0,8,0,0,1,No,not-diverse,2,185.0,31.0,11.0,2018-05-20 00:19:15+00:00,2024-04-10 07:22:19+00:00,8.0,8.0,5.0,3.0,0.0,0.0,Shell
csinva/hierarchical-dnn-interpretations,37,9859,6,0,0,14,1,6,4,4,Yes,not-diverse,2,128.0,22.0,9.0,2018-05-18 12:54:43+00:00,2024-12-25 09:35:49+00:00,9.0,8.0,2.0,7.0,0.0,0.0,Jupyter Notebook
vikasverma1077/manifold_mixup,52,8783,3,0,0,0,1,0,0,1,No,not-diverse,3,486.0,63.0,11.0,2018-06-12 13:26:05+00:00,2024-11-26 08:15:04+00:00,16.0,8.0,8.0,8.0,1.0,0.0,Python
WenboGong/MetaSGMCMC,42,8054,4,0,0,0,1,0,0,0,No,not-diverse,2,24.0,4.0,6.0,2018-06-08 09:07:40+00:00,2024-02-23 06:20:33+00:00,0.0,8.0,0.0,0.0,0.0,1.0,Roff
vtjeng/MIPVerify.jl,0,0,6,0,0,12,1,6,4,4,No,not-diverse,6,114.0,32.0,4.0,2017-12-15 21:38:31+00:00,2025-01-03 04:49:53+00:00,30.0,10.0,3.0,27.0,0.0,135.0,Julia
ftramer/slalom,562,195452,6,0,1,0,6,8,0,1,Yes,not-diverse,3,162.0,41.0,9.0,2018-02-17 00:02:32+00:00,2024-12-05 03:47:21+00:00,36.0,9.0,2.0,34.0,5.0,23.0,C++
facebookresearch/spreadingvectors,15,2184,2,0,2,4,10,4,0,2,Yes,not-diverse,2,319.0,37.0,15.0,2019-01-28 12:57:41+00:00,2024-12-18 09:50:30+00:00,5.0,10.0,1.0,4.0,0.0,0.0,Python
ml4tp/gamepad,51,11842,4,0,7,0,16,13,0,0,Yes,not-diverse,3,72.0,15.0,9.0,2018-05-31 07:01:00+00:00,2024-11-07 14:15:17+00:00,13.0,9.0,10.0,3.0,2.0,0.0,Coq
Gordonjo/versa,13,1919,2,0,0,12,0,3,0,0,Yes,not-diverse,2,69.0,13.0,7.0,2018-06-14 12:00:34+00:00,2024-11-17 22:16:49+00:00,3.0,8.0,0.0,3.0,0.0,0.0,Python
swing-research/deepmesh,16,2094,3,0,1,8,17,9,0,0,No,not-diverse,2,24.0,4.0,8.0,2018-05-24 19:43:47+00:00,2024-01-07 13:16:04+00:00,0.0,8.0,0.0,0.0,0.0,0.0,Python
emtiyaz/vmp-for-svae,23,4536,6,0,0,3,3,9,2,5,No,not-diverse,2,44.0,16.0,5.0,2018-02-21 14:45:54+00:00,2024-10-29 03:42:13+00:00,8.0,8.0,3.0,5.0,0.0,0.0,Python
YichenGong/Densely-Interactive-Inference-Network,23,5207,2,0,0,4,2,1,0,1,No,diverse,2,250.0,57.0,7.0,2017-10-10 18:35:03+00:00,2024-09-05 08:27:43+00:00,13.0,9.0,8.0,5.0,3.0,13.0,Python
alexnowakvila/DiCoNet,15,2956,2,0,0,4,6,0,4,0,Yes,not-diverse,2,11.0,8.0,3.0,2018-02-21 19:12:36+00:00,2023-05-19 03:00:57+00:00,1.0,8.0,1.0,0.0,0.0,0.0,Python
kabkabm/defensegan,38,5631,6,0,0,32,15,55,2,1,Yes,not-diverse,2,234.0,64.0,8.0,2018-04-27 23:55:06+00:00,2024-12-20 02:07:35+00:00,17.0,8.0,11.0,6.0,3.0,1.0,Python
Microsoft/graph-based-code-modelling,42,11919,2,0,0,27,9,53,0,0,Yes,diverse,6,170.0,38.0,13.0,2019-01-10 16:11:27+00:00,2024-10-04 00:48:46+00:00,7.0,10.0,1.0,6.0,3.0,6.0,C#
brendenpetersen/deep-symbolic-regression,66,13649,2,0,0,13,36,136,0,0,Yes,not-diverse,4,615.0,127.0,16.0,2020-02-19 19:47:51+00:00,2025-01-13 22:11:13+00:00,85.0,10.0,9.0,76.0,3.0,7.0,Python
dibyaghosh/gcsl,240,178976,6,0,0,11,4,0,0,0,No,not-diverse,2,76.0,9.0,7.0,2020-06-10 15:45:16+00:00,2024-09-01 08:28:00+00:00,8.0,9.0,7.0,1.0,1.0,1.0,Python
patrick-kidger/signatory,72,9705,6,0,0,0,0,12,0,3,Yes,diverse,3,265.0,35.0,12.0,2019-06-11 18:43:15+00:00,2025-01-03 15:28:09+00:00,32.0,8.0,17.0,15.0,3.0,32.0,C++
reactive-systems/deepltl,16,3134,2,0,0,6,8,3,0,1,Yes,diverse,3,31.0,4.0,8.0,2020-06-11 18:16:13+00:00,2024-10-04 09:09:40+00:00,3.0,9.0,1.0,2.0,0.0,0.0,Python
denisyarats/drq,6,981,2,0,0,0,10,3,2,4,Yes,not-diverse,3,412.0,53.0,13.0,2020-04-29 01:29:33+00:00,2025-01-13 17:48:36+00:00,26.0,9.0,2.0,24.0,1.0,1.0,Jupyter Notebook
salesforce/PCL,7,1872,2,0,0,5,0,0,0,1,Yes,not-diverse,2,576.0,84.0,17.0,2020-07-28 02:45:07+00:00,2024-12-31 01:12:15+00:00,25.0,9.0,8.0,17.0,0.0,0.0,Python
NVIDIA/flowtron,16,2973,3,0,0,1,0,16,1,8,Yes,diverse,5,897.0,176.0,29.0,2020-04-30 23:02:47+00:00,2025-01-10 10:52:53+00:00,142.0,10.0,65.0,77.0,11.0,6.0,Jupyter Notebook
PKU-AI-Edge/DGN,9,1895,3,0,0,3,1,0,0,1,No,not-diverse,2,342.0,88.0,9.0,2018-10-22 10:51:44+00:00,2025-01-11 00:09:03+00:00,27.0,9.0,19.0,8.0,2.0,9.0,Python
liuanji/WU-UCT,37,4789,13,1,0,21,6,0,0,8,Yes,diverse,2,114.0,24.0,4.0,2019-09-26 18:52:00+00:00,2024-12-05 16:56:27+00:00,8.0,9.0,3.0,5.0,0.0,0.0,Python
pclucas14/GansFallingShort,29,5394,5,0,0,8,0,4,0,4,No,diverse,3,58.0,11.0,6.0,2018-08-07 16:22:45+00:00,2024-07-10 07:36:59+00:00,8.0,8.0,0.0,8.0,0.0,2.0,Jupyter Notebook
authors-1901-10912/A-Meta-Transfer-Objective-For-Learning-To-Disentangle-Causal-Mechanisms,22,1590,3,0,0,0,2,3,0,0,No,diverse,2,125.0,22.0,2.0,2019-01-31 10:33:04+00:00,2024-10-31 03:05:11+00:00,1.0,8.0,1.0,0.0,0.0,0.0,Jupyter Notebook
ruqizhang/csgmcmc,21,2164,3,0,0,9,10,4,0,3,No,not-diverse,3,92.0,23.0,7.0,2019-02-02 20:07:45+00:00,2024-11-16 14:26:57+00:00,5.0,8.0,3.0,2.0,0.0,0.0,Jupyter Notebook
ParthaEth/Regularized_autoencoders-RAE-,72,5626,8,0,0,23,3,34,1,0,No,not-diverse,2,122.0,14.0,4.0,2020-02-14 19:48:13+00:00,2024-12-29 18:34:21+00:00,3.0,10.0,3.0,0.0,10.0,25.0,Python
dmzou/RSRAE,3,554,2,0,0,4,2,0,0,0,No,diverse,2,38.0,8.0,1.0,2019-12-21 05:21:51+00:00,2024-11-14 07:26:24+00:00,8.0,9.0,1.0,7.0,0.0,1.0,Python
automl/nasbench301,108,11018,1,0,0,0,5,6,0,2,Yes,diverse,6,76.0,22.0,11.0,2020-08-10 15:55:08+00:00,2024-12-09 02:58:27+00:00,17.0,9.0,3.0,14.0,0.0,5.0,Python
gifford-lab/optivax,11,6157,7,0,0,0,1,0,0,0,Yes,not-diverse,3,22.0,8.0,16.0,2020-05-12 14:39:45+00:00,2024-01-17 21:12:41+00:00,3.0,9.0,1.0,2.0,0.0,0.0,OpenEdge ABL
dwromero/ckconv,44,4659,11,23,0,8,3,25,2,1,Yes,not-diverse,2,119.0,15.0,4.0,2021-02-04 13:28:03+00:00,2024-12-20 22:30:49+00:00,10.0,9.0,0.0,10.0,1.0,1.0,Python
snap-stanford/orca,9,1108,2,0,0,4,4,0,0,0,No,diverse,2,95.0,12.0,5.0,2022-01-24 18:39:22+00:00,2025-01-07 12:41:04+00:00,18.0,9.0,10.0,8.0,0.0,0.0,Python
divelab/DIG,305,44785,8,1,0,12,7,34,5,30,Yes,diverse,27,1913.0,284.0,30.0,2020-10-30 03:51:15+00:00,2025-01-13 19:14:43+00:00,211.0,17.0,35.0,176.0,3.0,38.0,Python
nerdslab/bgrl,14,936,4,6,0,0,9,7,1,0,No,not-diverse,2,82.0,18.0,4.0,2021-10-28 17:54:10+00:00,2024-12-16 17:08:56+00:00,4.0,9.0,3.0,1.0,0.0,0.0,Python
borgwardtlab/togl,27,4337,5,4,0,0,7,22,0,0,No,diverse,4,119.0,22.0,10.0,2021-01-11 13:06:05+00:00,2024-12-18 22:27:46+00:00,18.0,9.0,1.0,17.0,0.0,0.0,Python
Arjung27/DeepThinking,19,2201,3,0,0,0,2,4,0,0,Yes,not-diverse,2,8.0,1.0,3.0,2021-02-17 08:49:10+00:00,2024-12-15 04:57:31+00:00,0.0,9.0,0.0,0.0,0.0,0.0,Python
xrenaa/DisCo,72,9060,6,0,0,8,7,40,23,4,No,not-diverse,2,133.0,10.0,11.0,2021-02-19 17:18:39+00:00,2025-01-10 00:01:35+00:00,7.0,9.0,3.0,4.0,0.0,0.0,Python
