repository,notD_num_code_files,notD_total_lines_of_code,notD_num_modules,notD_pretrained_models,notD_shell_scripts,notD_lists_in_readme,notD_code_blocks_in_readme,notD_inline_code_in_readme,notD_images_in_readme,notD_github_links_in_readme,notD_has_license,notD_diversity,notD_total_contributors,notD_Num_Star,notD_Num_Fork,notD_Num_Watcher,Date_Created,Date_Last_Mod,notD_Num_Issue,notD_Num_Issue_Type,notD_Num_Issue_Open,notD_Num_Issue_Closed,notD_Num_PR_Open,notD_Num_PR_Closed,language,,repository,D_num_code_files,D_total_lines_of_code,D_num_modules,D_pretrained_models,D_shell_scripts,D_lists_in_readme,D_code_blocks_in_readme,D_inline_code_in_readme,D_images_in_readme,D_github_links_in_readme,D_has_license,D_diversity,D_total_contributors,D_Num_Star,D_Num_Fork,D_Num_Watcher,Date_Created,Date_Last_Mod,D_Num_Issue,D_Num_Issue_Type,D_Num_Issue_Open,D_Num_Issue_Closed,D_Num_PR_Open,D_Num_PR_Closed,D_language
cihangxie/DI-2-FGSM,1,192,0,0,0,4,0,0,1,3,Yes,not-diverse,2,163,38,8,2018-03-19 01:02:32+00:00,2024-12-08 14:56:12+00:00,9,8,1,8,0,0,Python,,xthan/VITON,7,2772,5,0,4,8,15,0,0,4,No,diverse,2,534,143,22,2017-12-12 00:01:05+00:00,2025-01-11 00:21:29+00:00,55,8,21,34,0,1,Python
twke18/Adversarial_Structure_Matching,21,4031,7,0,0,11,10,0,0,0,Yes,not-diverse,2,11,2,6,2019-10-21 16:20:01+00:00,2024-06-04 19:44:17+00:00,0,9,0,0,0,0,Python,,Sha-Lab/FEAT,31,3231,4,0,1,44,0,92,0,10,Yes,diverse,2,423,84,13,2018-12-10 06:48:32+00:00,2024-12-30 11:16:58+00:00,82,8,1,81,0,0,Python
anshulbshah/Blurred-Image-to-Video,0,0,0,0,0,1,1,0,3,2,No,not-diverse,2,15,3,6,2017-12-11 08:04:34+00:00,2022-12-27 02:13:41+00:00,2,8,2,0,0,0,,,WenboGong/MetaSGMCMC,42,8054,4,0,0,0,1,0,0,0,No,diverse,2,24,4,6,2018-06-08 09:07:40+00:00,2024-02-23 06:20:33+00:00,0,8,0,0,0,1,Roff
rookiepig/CrossScaleStereo,64,8823,1,0,0,19,1,26,0,0,Yes,not-diverse,2,214,93,25,2014-03-03 02:28:22+00:00,2024-11-02 10:08:48+00:00,13,6,5,8,0,1,C++,,kabkabm/defensegan,38,5631,6,0,0,32,15,55,2,1,Yes,diverse,2,234,64,8,2018-04-27 23:55:06+00:00,2024-12-20 02:07:35+00:00,17,8,11,6,3,1,Python
wy1iu/sphereface,232,81739,4,3,0,52,9,31,7,39,Yes,not-diverse,2,1591,538,104,2017-07-19 16:46:26+00:00,2024-12-20 16:39:29+00:00,138,7,82,56,2,0,Jupyter Notebook,,liuanji/WU-UCT,37,4789,13,1,0,21,6,0,0,8,Yes,diverse,2,114,24,4,2019-09-26 18:52:00+00:00,2024-12-05 16:56:27+00:00,8,9,3,5,0,0,Python
StanfordVL/feedback-networks,0,0,4,0,1,4,6,4,0,3,Yes,not-diverse,2,88,20,7,2017-02-05 07:45:50+00:00,2024-11-08 22:10:48+00:00,5,7,3,2,0,0,Lua,,dwromero/ckconv,44,4659,11,23,0,8,3,25,2,1,Yes,diverse,2,119,15,4,2021-02-04 13:28:03+00:00,2024-12-20 22:30:49+00:00,10,9,0,10,1,1,Python
msracver/Relation-Networks-for-Object-Detection,76,21177,3,0,1,3,15,15,0,11,Yes,not-diverse,2,1099,189,34,2018-06-14 05:59:13+00:00,2024-12-30 13:50:49+00:00,46,8,17,29,0,3,Python,,snap-stanford/orca,9,1108,2,0,0,4,4,0,0,0,No,diverse,2,95,12,5,2022-01-24 18:39:22+00:00,2025-01-07 12:41:04+00:00,18,9,10,8,0,0,Python
fab-jul/imgcomp-cvpr,28,5257,2,0,0,23,5,63,1,4,Yes,not-diverse,2,181,53,12,2018-03-28 08:34:42+00:00,2024-12-01 09:47:48+00:00,33,8,3,30,0,1,Python,,nerdslab/bgrl,14,936,4,6,0,0,9,7,1,0,No,diverse,2,82,18,4,2021-10-28 17:54:10+00:00,2024-12-16 17:08:56+00:00,4,9,3,1,0,0,Python
rlit/LatentRANSAC,282,86329,7,0,0,4,0,0,0,1,No,not-diverse,2,25,9,7,2018-03-12 09:45:31+00:00,2024-01-10 02:59:02+00:00,0,8,0,0,0,0,C++,,bowenliu16/rl_graph_generation,124,17010,2,0,0,9,7,7,0,0,No,diverse,2,348,109,19,2018-03-06 21:04:47+00:00,2024-12-13 23:11:15+00:00,12,8,8,4,2,1,Python
SysCV/bdd100k-models,400,12962,11,0,1,13,1,0,2,2,Yes,not-diverse,2,299,40,10,2021-10-10 17:56:42+00:00,2025-01-09 23:21:21+00:00,23,9,5,18,0,3,Python,,minyoungg/selfconsistency,19,2633,4,0,1,0,6,0,0,1,No,diverse,2,192,43,12,2018-05-10 05:32:40+00:00,2024-12-12 14:48:20+00:00,7,9,6,1,3,6,Jupyter Notebook
